Date of onset,date
3,2020-01-21
1,2020-01-18
1,2020-01-20
4,2020-01-23
4,2020-01-25
5,2020-01-28
2,2020-01-22
3,2020-01-29
4,2020-01-02
9,2020-01-30
5,2020-04-02
1,2020-01-26
5,2020-03-02
5,2020-02-02
2,2020-07-02
7,2020-08-02
1,2020-05-02
2,2020-01-31
7,2020-12-02
1,2020-11-02
1,2020-02-14
2,2020-10-02
2,2020-02-18
3,2020-02-13
3,2020-02-20
2,2020-02-19
2,2020-02-24
2,2020-02-17
2,2020-02-25
1,2020-02-16
1,2020-02-29
1,2020-02-15
3,2020-02-28
2,2020-02-23
2,2020-04-03
5,2020-06-03
5,2020-07-03
12,2020-09-03
6,2020-08-03
17,2020-10-03
4,2020-03-03
20,2020-12-03
3,2020-02-03
16,2020-11-03
17,2020-03-13
18,2020-03-14
25,2020-03-15
1,2020-05-03
40,2020-03-16
39,2020-03-17
38,2020-03-18
44,2020-03-19
38,2020-03-20
30,2020-03-21
31,2020-03-22
41,2020-03-23
41,2020-03-24
37,2020-03-25
32,2020-03-26
37,2020-03-27
17,2020-03-28
27,2020-03-29
17,2020-03-30
23,2020-03-31
13,2020-01-04
11,2020-02-04
10,2020-03-04
8,2020-04-04
3,2020-05-04
3,2020-06-04
3,2020-07-04
7,2020-08-04
1,2020-09-04
1,2020-04-13
2,2020-11-04
2,2020-04-16
1,2020-04-15
1,2020-08-05
1,2020-11-05
1,2020-12-05
1,2020-05-15
2,2020-05-20
1,2020-05-16
1,2020-10-04
1,2020-05-22
1,2020-05-26
1,2020-04-27
1,2020-04-25
3,2020-03-06
1,2020-05-29
2,2020-01-06
1,2020-05-30
4,2020-04-06
1,2020-06-06
2,2020-05-31
1,2020-08-06
1,2020-10-06
1,2020-12-06
2,2020-06-19
3,2020-06-20
3,2020-06-21
2,2020-06-18
1,2020-05-05
1,2020-05-25
2,2020-06-23
1,2020-06-13
3,2020-06-22
1,2020-06-17
1,2020-06-24
2,2020-06-27
5,2020-06-25
3,2020-06-29
5,2020-06-30
1,2020-06-26
9,2020-01-07
6,2020-02-07
10,2020-04-07
7,2020-03-07
23,2020-06-07
10,2020-05-07
39,2020-07-07
38,2020-09-07
29,2020-08-07
45,2020-10-07
43,2020-11-07
52,2020-12-07
58,2020-07-13
77,2020-07-14
83,2020-07-15
89,2020-07-16
97,2020-07-17
89,2020-07-18
72,2020-07-19
104,2020-07-21
104,2020-07-20
107,2020-07-22
102,2020-07-23
114,2020-07-24
132,2020-07-27
98,2020-07-26
119,2020-07-25
93,2020-07-28
80,2020-07-29
61,2020-07-30
58,2020-07-31
60,2020-01-08
50,2020-02-08
54,2020-03-08
47,2020-04-08
50,2020-05-08
32,2020-06-08
40,2020-07-08
34,2020-08-08
32,2020-09-08
36,2020-10-08
25,2020-11-08
27,2020-12-08
24,2020-08-13
19,2020-08-15
21,2020-08-14
24,2020-08-16
19,2020-08-17
13,2020-08-18
17,2020-08-19
16,2020-08-20
14,2020-08-21
9,2020-08-22
4,2020-08-23
5,2020-08-24
9,2020-08-25
10,2020-08-27
8,2020-08-26
5,2020-08-28
6,2020-08-29
5,2020-08-30
9,2020-01-09
9,2020-02-09
6,2020-03-09
5,2020-08-31
3,2020-04-09
3,2020-05-09
4,2020-06-09
3,2020-08-09
9,2020-09-09
4,2020-10-09
7,2020-12-09
1,2020-07-09
4,2020-11-09
2,2020-09-14
4,2020-09-15
1,2020-09-13
1,2020-09-16
3,2020-09-17
1,2020-09-18
2,2020-09-20
3,2020-09-19
2,2020-09-21
2,2020-09-22
7,2020-09-26
2,2020-09-24
6,2020-09-29
2,2020-09-27
2,2020-09-28
2,2020-09-25
1,2020-09-30
4,2020-01-10
7,2020-03-10
2,2020-02-10
7,2020-04-10
4,2020-05-10
7,2020-06-10
5,2020-07-10
2,2020-08-10
4,2020-09-10
3,2020-10-10
2,2020-11-10
2,2020-12-10
1,2020-10-13
3,2020-10-17
2,2020-10-16
2,2020-10-18
3,2020-10-19
4,2020-10-20
1,2020-10-21
1,2020-10-24
2,2020-10-25
1,2020-10-22
1,2020-10-23
4,2020-10-27
1,2020-10-29
5,2020-10-30
2,2020-10-28
4,2020-10-31
1,2020-01-11
3,2020-02-11
2,2020-03-11
1,2020-04-11
4,2020-05-11
5,2020-07-11
6,2020-08-11
4,2020-06-11
5,2020-10-11
3,2020-09-11
6,2020-11-13
8,2020-11-11
3,2020-12-11
7,2020-11-15
10,2020-11-14
22,2020-11-18
17,2020-11-16
18,2020-11-17
30,2020-11-19
53,2020-11-20
42,2020-11-21
66,2020-11-22
76,2020-11-23
75,2020-11-24
70,2020-11-25
67,2020-11-26
74,2020-11-27
67,2020-11-28
63,2020-11-29
93,2020-11-30
73,2020-01-12
81,2020-02-12
78,2020-03-12
68,2020-04-12
73,2020-05-12
82,2020-06-12
75,2020-07-12
92,2020-08-12
53,2020-09-12
62,2020-10-12
73,2020-11-12
56,2020-12-12
70,2020-12-13
75,2020-12-14
56,2020-12-15
60,2020-12-16
44,2020-12-17
46,2020-12-18
53,2020-12-19
45,2020-12-20
47,2020-12-21
43,2020-12-22
52,2020-12-23
43,2020-12-24
47,2020-12-25
30,2020-12-26
27,2020-12-27
46,2020-12-28
37,2020-12-29
19,2020-12-30
25,2020-12-31
25,2021-01-01
35,2021-02-01
29,2021-04-01
18,2021-03-01
36,2021-05-01
22,2021-06-01
22,2021-07-01
18,2021-08-01
30,2021-09-01
39,2021-10-01
29,2021-11-01
31,2021-12-01
38,2021-01-13
44,2021-01-14
55,2021-01-15
44,2021-01-16
56,2021-01-17
48,2021-01-18
41,2021-01-19
38,2021-01-20
37,2021-01-21
63,2021-01-22
38,2021-01-23
30,2021-01-24
26,2021-01-25
29,2021-01-26
23,2021-01-27
18,2021-01-28
19,2021-01-29
16,2021-01-30
10,2021-01-31
20,2021-01-02
21,2021-02-02
15,2021-03-02
20,2021-04-02
20,2021-05-02
15,2021-06-02
18,2021-07-02
9,2021-08-02
13,2021-09-02
6,2021-10-02
14,2021-11-02
9,2021-12-02
8,2021-02-13
11,2021-02-14
6,2021-02-15
3,2021-02-16
8,2021-02-17
6,2021-02-19
6,2021-02-18
7,2021-02-20
13,2021-02-21
26,2021-02-22
15,2021-02-23
9,2021-02-24
8,2021-02-25
9,2021-02-26
6,2021-02-27
9,2021-02-28
11,2021-01-03
2,2021-02-03
8,2021-03-03
8,2021-04-03
6,2021-05-03
6,2021-07-03
10,2021-06-03
12,2021-08-03
22,2021-09-03
22,2021-10-03
18,2021-11-03
11,2021-12-03
15,2021-03-13
3,2021-03-14
5,2021-03-15
5,2021-03-16
8,2021-03-17
4,2021-03-19
5,2021-03-20
4,2021-03-21
2,2021-03-22
5,2021-03-23
3,2021-03-24
4,2021-03-25
1,2021-03-18
2,2021-03-26
1,2021-03-27
2,2021-03-28
4,2021-03-29
2,2021-03-30
7,2021-03-31
4,2021-04-04
2,2021-03-04
5,2021-05-04
4,2021-06-04
4,2021-07-04
2,2021-01-04
3,2021-02-04
3,2021-08-04
4,2021-10-04
3,2021-09-04
4,2021-11-04
3,2021-04-14
2,2021-04-13
5,2021-04-15
1,2021-12-04
2,2021-04-16
2,2021-04-18
1,2021-04-19
3,2021-04-20
2,2021-04-17
2,2021-04-21
4,2021-04-23
1,2021-04-22
4,2021-04-24
2,2021-04-26
1,2021-04-27
2,2021-04-25
1,2021-04-29
2,2021-02-05
1,2021-05-05
1,2021-04-05
1,2021-03-05
1,2021-11-05
1,2021-12-05
1,2021-05-21
1,2021-05-24
1,2021-05-30
1,2021-02-06
3,2021-04-06
2,2021-06-06
1,2021-11-06
1,2021-06-13
1,2021-06-14
2,2021-06-16
1,2021-06-17
3,2021-06-21
1,2021-06-20
1,2021-06-19
1,2021-06-18
4,2021-06-25
2,2021-06-26
1,2021-06-27
1,2021-06-29
3,2021-06-30
1,2021-06-28
2,2021-01-07
1,2021-03-07
2,2021-02-07
1,2021-07-07
1,2021-10-07
2,2021-07-18
2,2021-07-17
1,2021-07-24
2,2021-07-27
2,2021-01-08
2,2021-02-08
1,2021-04-08
4,2021-06-08
1,2021-12-07
1,2021-11-08
3,2021-08-15
2,2021-08-17
2,2021-08-20
1,2021-08-22
2,2021-08-23
2,2021-08-21
1,2021-08-18
1,2021-07-08
1,2021-08-29
1,2021-08-08
1,2021-08-14
1,2021-08-16
1,2021-08-24
1,2021-08-25
2,2021-08-31
1,2021-03-09
1,2021-04-09
1,2021-05-09
1,2021-10-09
1,2021-11-09
2,2021-09-17
2,2021-09-23
1,2021-09-24
1,2021-09-22
2,2021-09-26
